# url contains_open_hours_text
http://www.completeinsulations.ie/contact-complete-insulations.html     0
http://www.amartandprint.com/contact-us.html -1
http://www.lisawallace.ie/contact     0
http://www.irishpromotionalleather.com/contact.php     0
http://www.fiacrihouse.com/contact-us/     0
http://www.chameleoncreative.com/contact-chameleon-creative     0
http://www.suzukimarine.ie/contact/     -1
http://builders4claims.ie/contact-us/     0
http://www.erikaderyan.com/contact.html      0
http://harrisonsolicitors.com/contact-location/ -1
http://annaschu.ie/contact/     1
http://www.prestigious.ie/contact-us     0
http://jfkwindowsanddoors.ie/contact-us/     0
http://madison-nightclub.com/contact-us/     0
http://www.thebalitouch.com/contact-us.html     -1
http://www.handyman4hire.ie/contact-us.php     -1
http://ncas.ie/contact/     0
http://www.hqsireland.com/contact.html     0
http://www.newaims.ie/contact.php     0
http://www.ledvista.ie/index.php?main_page=contact_us     0
http://www.solaris-energy.ie/contacts/     0
http://jmgplumbingandheatingdublin.com/contact-jmg-plumber-ireland-louth-dublin-wicklow/ -1
http://www.discain.co.uk/contact-us     0
http://www.theardilaunhotel.ie/contact     0
http://framesetc.ie/index.php/contact-page/     1
http://www.blarneyweddingcars.com/blcontact.html     0
http://innovativedjs.ie/contact/4571605562     0
http://www.corkartsstudio.ie/contact.php     0
http://www.crossell.ie/contact-us/     0
http://www.weddingcakescorkkerry.ie/contact.html     0
http://www.bbtintl.com/contact.php     0
http://tyrehangar.ie/contact/     1
http://aaacomputerrepairs.net/contact-us.html     0
http://www.allwood.ie/contactus.htm     0
http://essenceofbeautydublin.weebly.com/contact-us.html     1
http://alphahealthcare.ie/contact/     0
http://www.fayco.ie/contact-us/     0
http://www.carlton.ie/contactus     0
http://www.northwestautos.ie/contactus.php     0
http://www.lifesleepcomfort.ie/contact.htm     0
http://www.newuclinic.ie/new-u-clinic/contact-us/     0
http://qualityseaveg.ie/index.php?route=information/contact     0
http://www.cakechick.ie/contact.php     -1
http://www.conneelyfurniture.ie/contact     -1
http://www.meeganinsulations.ie/contact.php     0
